loan_id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,mths_since_last_major_derog
1,0.0,12/1/92,0.0,,,15.0,0.0,12087,12.1,44.0,
2,0.0,11/1/05,2.0,,,4.0,0.0,10114,64.0,5.0,
3,0.0,6/1/70,0.0,,,4.0,0.0,81,0.6,8.0,
4,1.0,9/1/82,0.0,16.0,,6.0,0.0,10030,37.1,23.0,
5,0.0,10/1/99,4.0,,,8.0,0.0,10740,40.4,21.0,
6,2.0,12/1/99,1.0,19.0,,6.0,0.0,1715,26.4,25.0,
7,0.0,11/1/79,0.0,,,18.0,0.0,5466,11.1,29.0,
8,0.0,4/1/06,0.0,,,9.0,0.0,10354,95.9,10.0,
9,0.0,2/1/01,2.0,,,11.0,0.0,19662,59.2,27.0,
10,0.0,5/1/95,1.0,,,11.0,0.0,19998,18.3,23.0,
11,0.0,12/1/90,0.0,,,10.0,0.0,15046,39.9,18.0,
12,0.0,6/1/93,0.0,,,12.0,0.0,25274,39.5,24.0,
13,0.0,4/1/96,2.0,,,12.0,0.0,36546,73.4,27.0,
14,0.0,10/1/96,3.0,,,3.0,0.0,886,25.3,5.0,
15,0.0,10/1/99,0.0,,,13.0,0.0,23484,70.1,37.0,
16,0.0,1/1/93,0.0,,,5.0,0.0,18591,37.9,19.0,
17,0.0,9/1/93,0.0,,,4.0,0.0,8511,78.8,9.0,
18,0.0,1/1/03,0.0,,,9.0,0.0,5276,62.1,19.0,
19,0.0,11/1/99,1.0,,,12.0,0.0,16167,70.3,27.0,
20,1.0,12/1/96,3.0,13.0,,5.0,0.0,49805,0.0,36.0,
21,0.0,11/1/97,6.0,,,13.0,0.0,1249,6.1,23.0,
22,0.0,9/1/94,0.0,34.0,,8.0,0.0,27733,80.4,24.0,
23,0.0,6/1/95,0.0,,,6.0,0.0,4971,43.5,19.0,
24,0.0,3/1/87,0.0,49.0,,16.0,0.0,444,2.5,54.0,
25,0.0,1/1/99,3.0,32.0,,10.0,0.0,150,3.1,24.0,
26,0.0,2/1/00,1.0,67.0,,5.0,0.0,8482,73.8,20.0,
27,0.0,5/1/00,1.0,,,10.0,0.0,20691,51.6,20.0,
28,0.0,7/1/05,0.0,,,11.0,0.0,2459,44.7,26.0,
29,0.0,4/1/94,8.0,,,16.0,0.0,41705,95.2,24.0,
30,0.0,7/1/95,0.0,48.0,,2.0,0.0,0,0.0,7.0,
31,0.0,10/1/01,1.0,58.0,,6.0,0.0,24678,79.0,22.0,
32,0.0,6/1/97,2.0,52.0,,10.0,0.0,2894,36.2,13.0,
33,0.0,10/1/00,0.0,39.0,,6.0,0.0,10949,61.9,12.0,
34,0.0,8/1/03,0.0,,,6.0,0.0,2146,20.2,16.0,
35,0.0,2/1/96,0.0,,,10.0,0.0,14563,68.1,23.0,
36,0.0,10/1/04,0.0,,,8.0,0.0,27686,54.3,26.0,
37,0.0,8/1/98,0.0,60.0,,14.0,0.0,9936,16.7,29.0,
38,0.0,7/1/01,3.0,62.0,,11.0,0.0,528,9.1,22.0,
39,0.0,1/1/04,1.0,,,8.0,0.0,6772,72.8,18.0,
40,0.0,2/1/95,3.0,,,8.0,0.0,13041,81.5,36.0,
41,0.0,9/1/01,3.0,64.0,,7.0,0.0,7616,58.1,16.0,
42,0.0,2/1/07,2.0,,,6.0,0.0,1555,24.7,10.0,
43,0.0,8/1/97,1.0,,,9.0,0.0,780,4.1,19.0,
44,0.0,3/1/00,2.0,,,13.0,0.0,14217,20.2,25.0,
45,0.0,9/1/92,3.0,,,10.0,0.0,55142,45.8,24.0,
46,0.0,10/1/95,0.0,,,10.0,0.0,18885,66.3,43.0,
47,0.0,1/1/00,3.0,,,12.0,0.0,17717,67.4,26.0,
48,1.0,1/1/87,1.0,4.0,,5.0,0.0,15974,48.9,16.0,
49,0.0,10/1/96,1.0,,,11.0,0.0,5723,8.4,38.0,
50,0.0,1/1/01,0.0,,,6.0,0.0,12915,85.0,12.0,
51,0.0,9/1/84,0.0,34.0,,16.0,0.0,0,0.0,24.0,
52,4.0,7/1/86,1.0,4.0,,25.0,0.0,43109,72.3,49.0,
53,0.0,1/1/06,2.0,,,14.0,0.0,277,46.2,15.0,
54,0.0,7/1/80,0.0,,,15.0,0.0,78330,28.6,31.0,
55,0.0,12/1/98,0.0,63.0,,6.0,0.0,8282,62.3,11.0,
56,0.0,9/1/04,0.0,,,2.0,0.0,9279,36.5,3.0,
57,1.0,4/1/00,1.0,19.0,,9.0,0.0,19226,70.9,32.0,
58,0.0,6/1/76,0.0,,,11.0,0.0,60631,70.3,28.0,
59,0.0,5/1/04,0.0,,,10.0,0.0,18601,88.2,11.0,
60,1.0,8/1/99,2.0,19.0,27.0,4.0,1.0,2601,40.6,7.0,
61,0.0,3/1/81,4.0,,,10.0,0.0,23065,51.1,31.0,
62,0.0,3/1/01,0.0,,,19.0,0.0,18421,67.0,28.0,
63,0.0,9/1/02,0.0,27.0,,15.0,0.0,1155,11.3,24.0,
64,0.0,7/1/97,3.0,,92.0,3.0,1.0,45,0.6,16.0,
65,0.0,3/1/05,0.0,,,4.0,0.0,4556,53.6,7.0,
66,0.0,11/1/95,1.0,,,11.0,0.0,5231,2.4,20.0,
67,0.0,2/1/06,1.0,,,13.0,0.0,11338,18.6,30.0,
68,1.0,7/1/97,2.0,15.0,,30.0,0.0,6654,22.6,56.0,
69,0.0,4/1/00,0.0,,,14.0,0.0,6953,67.5,24.0,
70,0.0,12/1/02,3.0,,,8.0,0.0,3943,33.4,20.0,
71,0.0,7/1/07,0.0,,,4.0,0.0,3935,46.3,5.0,
72,1.0,8/1/02,2.0,16.0,,11.0,0.0,3349,21.2,20.0,
73,1.0,4/1/84,0.0,11.0,,12.0,0.0,2193,10.5,21.0,
74,0.0,4/1/06,0.0,,,8.0,0.0,4913,63.4,12.0,
75,0.0,1/1/06,2.0,,,7.0,0.0,4280,28.2,8.0,
76,0.0,5/1/88,3.0,26.0,,12.0,0.0,73764,22.5,39.0,
77,0.0,12/1/03,1.0,34.0,0.0,6.0,0.0,1233,35.2,7.0,
